=== Max TMAX and Min TMIN registered between 2025-01-01 and 2025-12-31 for each station ===
STATION NAME                             DATE MAX      TMAX DATE MIN      TMIN
---------------------------------------- ---------- ------- ---------- -------
AEROPARQUE AERO                          10/02/2025    36.3 02/07/2025     1.5
AZUL AERO                                10/02/2025    38.1 01/07/2025    -7.7
BAHIA BLANCA AERO                        23/01/2025    39.3 01/07/2025    -6.6
BARILOCHE AERO                           29/01/2025    32.3 30/06/2025   -13.9
BASE BELGRANO II                         20/01/2025     5.6 08/06/2025   -36.1
BASE CARLINI (EX JUBANY)                 09/04/2025     8.7 13/08/2025   -11.5
BASE ESPERANZA                           01/01/2025    14.7 24/07/2025   -21.6
BASE MARAMBIO                            22/01/2025    14.1 12/08/2025   -27.7
BASE ORCADAS                             23/01/2025     9.0 04/08/2025   -23.5
BASE SAN MARTIN                          02/01/2025     8.7 07/08/2025   -21.2
BENITO JUAREZ                            22/02/2025    37.0 01/07/2025    -7.3
BERNARDO DE IRIGOYEN AERO                03/03/2025    33.1 01/07/2025    -1.2
BOLIVAR AERO                             10/02/2025    38.5 01/07/2025    -8.0
BUENOS AIRES OBSERVATORIO                10/02/2025    38.5 02/07/2025    -1.9
CAMPO DE MAYO AERO                       10/02/2025    38.0 02/07/2025    -6.7
CATAMARCA AERO                           09/02/2025    42.7 01/07/2025    -6.2
CERES AERO                               19/03/2025    33.6 02/07/2025    -4.5
CHAMICAL AERO                            24/02/2025    29.0 24/06/2025    -3.6
CHAPELCO AERO                            29/01/2025    34.6 30/06/2025   -15.0
CHEPES                                   09/02/2025    41.5 30/06/2025    -6.6
CHILECITO AERO                           06/03/2025    37.0 02/07/2025    -5.0
COMODORO RIVADAVIA AERO                  12/01/2025    35.6 26/07/2025    -6.3
CONCORDIA AERO                           10/02/2025    41.8 01/07/2025    -5.2
CORDOBA AERO                             24/02/2025    39.5 01/07/2025    -8.1
CORDOBA OBSERVATORIO                     24/02/2025    42.2 30/06/2025    -3.4
CORONEL SUAREZ AERO                      22/02/2025    36.4 01/07/2025   -10.3
CORRIENTES AERO                          04/03/2025    41.4 02/07/2025    -0.5
DOLORES AERO                             27/03/2025    28.8 02/07/2025    -3.9
EL BOLSON AERO                           30/01/2025    35.6 30/06/2025   -10.5
EL CALAFATE AERO                         29/01/2025    25.3 29/06/2025   -14.1
EL PALOMAR AERO                          03/02/2025    38.0 02/07/2025    -7.4
ESCUELA DE AVIACION MILITAR AERO         24/02/2025    25.0 N/A            N/A
ESQUEL AERO                              30/01/2025    31.2 30/06/2025   -18.2
EZEIZA AERO                              10/02/2025    38.5 01/07/2025    -4.6
FORMOSA AERO                             04/03/2025    41.5 01/07/2025     1.4
GENERAL PICO AERO                        14/01/2025    39.6 30/06/2025    -8.0
GOBERNADOR GREGORES AERO                 25/03/2025    29.0 29/06/2025   -14.0
GUALEGUAYCHU AERO                        10/02/2025    39.3 02/07/2025    -6.4
IGUAZU AERO                              02/03/2025    37.2 24/06/2025    -1.2
ITUZAINGO                                11/02/2025    40.5 02/07/2025     2.0
JACHAL                                   08/02/2025    39.6 01/07/2025    -8.1
JUJUY AERO                               04/02/2025    37.6 24/06/2025    -2.8
JUJUY U N                                05/02/2025    34.7 03/07/2025    -1.5
JUNIN AERO                               15/01/2025    37.6 01/07/2025    -8.0
LA PLATA AERO                            03/02/2025    38.1 02/07/2025    -5.2
LA QUIACA OBSERVATORIO                   24/02/2025    25.2 30/06/2025   -10.2
LA RIOJA AERO                            10/02/2025    45.0 24/06/2025    -5.0
LABOULAYE AERO                           23/02/2025    38.5 01/07/2025    -7.1
LAS FLORES                               10/02/2025    39.5 01/07/2025    -3.6
LAS LOMITAS                              06/02/2025    42.5 24/06/2025     0.0
MALARGUE AERO                            10/02/2025    36.6 30/06/2025   -16.0
MAQUINCHAO                               30/01/2025    39.0 30/06/2025   -19.2
MAR DEL PLATA AERO                       10/02/2025    39.9 02/07/2025    -6.3
MARCOS JUAREZ AERO                       08/02/2025    39.2 01/07/2025    -8.0
MARIANO MORENO AERO                      07/03/2025    25.5 N/A            N/A
MENDOZA AERO                             26/02/2025    35.0 30/06/2025    -6.7
MENDOZA OBSERVATORIO                     15/01/2025    25.5 N/A            N/A
MERCEDES AERO (CTES)                     11/02/2025    41.0 02/07/2025    -1.8
MERLO AERO                               07/03/2025    24.5 N/A            N/A
METAN                                    01/03/2025    38.0 30/06/2025    -0.4
MONTE CASEROS AERO                       04/03/2025    40.6 01/07/2025    -1.9
